,CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
3558,6001400100,CA,Alameda,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1314,2.0,0.000681,0,2937,U,2898.254926,0.986807942,147.0051559,0.050052828,422.3004227,0.9889939640000001,624.1597132,0.984479043,41.95934717,0.031932532,1656.651251,0.564062394,84.02859011,0.028610347,243.6268326,0.5705546429999999,360.6446232,0.5688401,24.161249899999998,0.018387557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3559,6001400200,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,856,70.0,0.035461,0,1974,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3560,6001400300,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2418,40.0,0.008222,0,4865,U,352.9471216,0.072548226,104.27362459999999,0.021433427,42.34139371,0.05571236,26.80109777,0.054363281,70.6051484,0.029199812999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3561,6001400400,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1779,33.0,0.0089117,0,3703,U,79.81942827,0.021555341000000002,13.83909534,0.003737266,6.793742709,0.011877173000000001,4.830310013,0.013683598,1.779820392,0.001000461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3562,6001400500,CA,Alameda,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1578,126.0,0.035826,1,3517,U,1012.9630710000001,0.288019071,236.3734403,0.067208826,135.51230900000002,0.301138465,99.39227775,0.31653591600000003,96.40920134,0.061095817999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3563,6001400600,CA,Alameda,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,690,6.0,0.0038192,1,1571,U,1571.000033,1.000000021,466.38911579999996,0.296874039,224.000006,1.000000027,144.00000119999999,1.000000009,90.35908842,0.130955201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3564,6001400700,CA,Alameda,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1755,167.0,0.039705199999999996,1,4206,U,2120.413829,0.504140235,936.271607,0.22260380600000002,332.0265246,0.527864109,277.87536370000004,0.545924094,179.08153240000001,0.10204075900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3565,6001400800,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1567,153.0,0.042571,1,3594,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3566,6001400900,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1019,2.0,0.0008687999999999999,1,2302,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3567,6001401000,CA,Alameda,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,2354,23.0,0.0040507,1,5678,U,1882.411968,0.331527293,948.8707899,0.167113559,414.6839125,0.357794575,150.6268709,0.330322085,121.78148940000001,0.051733852999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3568,6001401100,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,150.0,0.036092400000000004,1,4156,U,301.4086939,0.072523747,188.7216131,0.045409435,51.14717412,0.10438198800000001,15.96129349,0.062348803,52.23254298,0.026025182999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3569,6001401200,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1216,46.0,0.019039700000000003,0,2416,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3570,6001401300,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1632,580.0,0.1643991,1,3528,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3571,6001401400,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1396,508.0,0.11775610000000002,1,4314,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3572,6001401500,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,940,415.0,0.1577947,1,2630,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3573,6001401600,CA,Alameda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,765,57.0,0.026352299999999995,1,2163,U,1.322274923,0.000611315,0.465083539,0.00021501799999999998,0.0,0.0,0.440758318,0.0039353420000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
